ranking	stimSet	stimType	subjID
1	set01	meaningPres	ss01
1	set01	meaningPres	ss02
4	set01	meaningPres	ss03
1	set01	meaningPres	ss04
1	set01	meaningPres	ss05
3	set01	meaningPres	ss06
2	set01	meaningPres	ss07
3	set01	meaningPres	ss08
4	set01	meaningPres	ss09
4	set01	meaningPres	ss10
2	set01	meaningPres	ss11
4	set01	meaningPres	ss12
2	set01	meaningPres	ss13
2	set01	meaningPres	ss14
1	set01	meaningPres	ss15
3	set01	meaningPres	ss16
2	set01	meaningPres	ss17
4	set01	meaningPres	ss18
3	set01	meaningPres	ss19
1	set01	meaningPres	ss20
4	set01	meaningPres	ss21
1	set01	meaningPres	ss22
1	set01	meaningPres	ss23
4	set01	meaningPres	ss24
1	set01	meaningPres	ss25
3	set01	nounChange	ss01
4	set01	nounChange	ss02
2	set01	nounChange	ss03
3	set01	nounChange	ss04
3	set01	nounChange	ss05
4	set01	nounChange	ss06
4	set01	nounChange	ss07
2	set01	nounChange	ss08
3	set01	nounChange	ss09
1	set01	nounChange	ss10
4	set01	nounChange	ss11
1	set01	nounChange	ss12
4	set01	nounChange	ss13
1	set01	nounChange	ss14
3	set01	nounChange	ss15
4	set01	nounChange	ss16
3	set01	nounChange	ss17
3	set01	nounChange	ss18
1	set01	nounChange	ss19
4	set01	nounChange	ss20
2	set01	nounChange	ss21
4	set01	nounChange	ss22
4	set01	nounChange	ss23
1	set01	nounChange	ss24
4	set01	nounChange	ss25
2	set01	prepChange	ss01
3	set01	prepChange	ss02
1	set01	prepChange	ss03
2	set01	prepChange	ss04
2	set01	prepChange	ss05
1	set01	prepChange	ss06
3	set01	prepChange	ss07
1	set01	prepChange	ss08
1	set01	prepChange	ss09
2	set01	prepChange	ss10
1	set01	prepChange	ss11
3	set01	prepChange	ss12
1	set01	prepChange	ss13
3	set01	prepChange	ss14
4	set01	prepChange	ss15
1	set01	prepChange	ss16
1	set01	prepChange	ss17
1	set01	prepChange	ss18
2	set01	prepChange	ss19
3	set01	prepChange	ss20
1	set01	prepChange	ss21
2	set01	prepChange	ss22
2	set01	prepChange	ss23
2	set01	prepChange	ss24
2	set01	prepChange	ss25
4	set01	adjChange	ss01
2	set01	adjChange	ss02
3	set01	adjChange	ss03
4	set01	adjChange	ss04
4	set01	adjChange	ss05
2	set01	adjChange	ss06
1	set01	adjChange	ss07
4	set01	adjChange	ss08
2	set01	adjChange	ss09
3	set01	adjChange	ss10
3	set01	adjChange	ss11
2	set01	adjChange	ss12
3	set01	adjChange	ss13
4	set01	adjChange	ss14
2	set01	adjChange	ss15
2	set01	adjChange	ss16
4	set01	adjChange	ss17
2	set01	adjChange	ss18
4	set01	adjChange	ss19
2	set01	adjChange	ss20
3	set01	adjChange	ss21
3	set01	adjChange	ss22
3	set01	adjChange	ss23
3	set01	adjChange	ss24
3	set01	adjChange	ss25
1	set02	meaningPres	ss01
1	set02	meaningPres	ss02
4	set02	meaningPres	ss03
1	set02	meaningPres	ss04
1	set02	meaningPres	ss05
1	set02	meaningPres	ss06
2	set02	meaningPres	ss07
1	set02	meaningPres	ss08
4	set02	meaningPres	ss09
4	set02	meaningPres	ss10
4	set02	meaningPres	ss11
4	set02	meaningPres	ss12
1	set02	meaningPres	ss13
1	set02	meaningPres	ss14
1	set02	meaningPres	ss15
4	set02	meaningPres	ss16
2	set02	meaningPres	ss17
4	set02	meaningPres	ss18
1	set02	meaningPres	ss19
1	set02	meaningPres	ss20
4	set02	meaningPres	ss21
1	set02	meaningPres	ss22
4	set02	meaningPres	ss23
1	set02	meaningPres	ss24
1	set02	meaningPres	ss25
3	set02	nounChange	ss01
4	set02	nounChange	ss02
3	set02	nounChange	ss03
4	set02	nounChange	ss04
4	set02	nounChange	ss05
4	set02	nounChange	ss06
4	set02	nounChange	ss07
4	set02	nounChange	ss08
2	set02	nounChange	ss09
1	set02	nounChange	ss10
2	set02	nounChange	ss11
2	set02	nounChange	ss12
3	set02	nounChange	ss13
4	set02	nounChange	ss14
3	set02	nounChange	ss15
3	set02	nounChange	ss16
4	set02	nounChange	ss17
3	set02	nounChange	ss18
2	set02	nounChange	ss19
4	set02	nounChange	ss20
3	set02	nounChange	ss21
4	set02	nounChange	ss22
3	set02	nounChange	ss23
4	set02	nounChange	ss24
4	set02	nounChange	ss25
4	set02	prepChange	ss01
3	set02	prepChange	ss02
1	set02	prepChange	ss03
2	set02	prepChange	ss04
2	set02	prepChange	ss05
2	set02	prepChange	ss06
3	set02	prepChange	ss07
2	set02	prepChange	ss08
1	set02	prepChange	ss09
2	set02	prepChange	ss10
1	set02	prepChange	ss11
3	set02	prepChange	ss12
4	set02	prepChange	ss13
2	set02	prepChange	ss14
2	set02	prepChange	ss15
2	set02	prepChange	ss16
1	set02	prepChange	ss17
1	set02	prepChange	ss18
3	set02	prepChange	ss19
3	set02	prepChange	ss20
1	set02	prepChange	ss21
2	set02	prepChange	ss22
1	set02	prepChange	ss23
2	set02	prepChange	ss24
3	set02	prepChange	ss25
2	set02	adjChange	ss01
2	set02	adjChange	ss02
2	set02	adjChange	ss03
3	set02	adjChange	ss04
3	set02	adjChange	ss05
3	set02	adjChange	ss06
1	set02	adjChange	ss07
3	set02	adjChange	ss08
3	set02	adjChange	ss09
3	set02	adjChange	ss10
3	set02	adjChange	ss11
1	set02	adjChange	ss12
2	set02	adjChange	ss13
3	set02	adjChange	ss14
4	set02	adjChange	ss15
1	set02	adjChange	ss16
3	set02	adjChange	ss17
2	set02	adjChange	ss18
4	set02	adjChange	ss19
2	set02	adjChange	ss20
2	set02	adjChange	ss21
3	set02	adjChange	ss22
2	set02	adjChange	ss23
3	set02	adjChange	ss24
2	set02	adjChange	ss25
1	set03	meaningPres	ss01
1	set03	meaningPres	ss02
4	set03	meaningPres	ss03
1	set03	meaningPres	ss04
1	set03	meaningPres	ss05
2	set03	meaningPres	ss06
1	set03	meaningPres	ss07
1	set03	meaningPres	ss08
4	set03	meaningPres	ss09
4	set03	meaningPres	ss10
1	set03	meaningPres	ss11
4	set03	meaningPres	ss12
1	set03	meaningPres	ss13
1	set03	meaningPres	ss14
1	set03	meaningPres	ss15
1	set03	meaningPres	ss16
2	set03	meaningPres	ss17
4	set03	meaningPres	ss18
3	set03	meaningPres	ss19
1	set03	meaningPres	ss20
4	set03	meaningPres	ss21
1	set03	meaningPres	ss22
1	set03	meaningPres	ss23
1	set03	meaningPres	ss24
1	set03	meaningPres	ss25
3	set03	nounChange	ss01
4	set03	nounChange	ss02
3	set03	nounChange	ss03
3	set03	nounChange	ss04
4	set03	nounChange	ss05
4	set03	nounChange	ss06
3	set03	nounChange	ss07
3	set03	nounChange	ss08
3	set03	nounChange	ss09
1	set03	nounChange	ss10
3	set03	nounChange	ss11
2	set03	nounChange	ss12
2	set03	nounChange	ss13
4	set03	nounChange	ss14
3	set03	nounChange	ss15
4	set03	nounChange	ss16
4	set03	nounChange	ss17
2	set03	nounChange	ss18
2	set03	nounChange	ss19
3	set03	nounChange	ss20
3	set03	nounChange	ss21
4	set03	nounChange	ss22
4	set03	nounChange	ss23
3	set03	nounChange	ss24
4	set03	nounChange	ss25
2	set03	prepChange	ss01
3	set03	prepChange	ss02
