DistanceType	StimClass	Comparison	fROI_Criterion	fROI	ID	Distance
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss001	0.537554827790947
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss001	0.684110144918286
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss001	0.505574784357872
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss001	0.560722526350253
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss001	0.412135564652014
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss001	0.429451637814823
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss001	0.540588734831623
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss001	0.585266427826734
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss001	0.295810665035177
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss001	0.273445473651623
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss001	0.259484203792564
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss001	0.312583295092893
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss001	0.674131402137344
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss001	0.310742831872974
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss001	0.644213742165212
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss001	0.404031155568363
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss002	0.413638915118373
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss002	0.423629676730187
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss002	0.322451853916321
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss002	0.38356128901547
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss002	0.649458018243259
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss002	0.68995260379433
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss002	0.663514922724939
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss002	0.498967894948959
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss002	0.348071511638235
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss002	0.508576422864897
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss002	0.516454874242282
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss002	0.390421268520841
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss002	0.43846989058063
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss002	0.327649061201897
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss002	0.358122351810262
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss002	0.383586996668103
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss003	0.251019226947479
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss003	0.225296954097731
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss003	0.0871285495384354
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss003	0.168965952677253
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss003	0.113239944442068
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss003	0.161302195782347
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss003	0.207455575235134
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss003	0.321446991477707
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss003	0.143742197625886
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss003	0.3130148445554
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss003	0.186605583030894
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss003	0.276610303441604
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss003	0.163682505531052
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss003	0.216936209918348
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss003	0.207996324806534
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss003	0.214693680088672
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss004	0.416122731696331
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss004	0.451132874364028
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss004	0.524129263507032
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss004	0.242981638764172
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss004	0.471612100237681
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss004	0.476793831045713
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss004	0.676757292694098
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss004	0.279727596614839
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss004	0.373184654601996
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss004	0.679320218356638
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss004	0.391357159485106
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss004	0.801521898139374
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss004	0.799485442066708
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss004	0.303929392376883
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss004	0.347468437950112
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss004	0.312990173204416
conVals_spearman	MAN	BASE_VS_NCHANGE	from70to100	lang_LH	ss005	0.32056487904011
conVals_spearman	MAN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss005	0.304159941849272
conVals_spearman	MAN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss005	0.392459505161043
conVals_spearman	MAN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss005	0.327161786780213
conVals_spearman	CAT	BASE_VS_NCHANGE	from70to100	lang_LH	ss005	0.163970352135704
conVals_spearman	CAT	BASE_VS_AJCHANGE	from70to100	lang_LH	ss005	0.442673648922205
conVals_spearman	CAT	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss005	0.237255699320419
conVals_spearman	CAT	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss005	0.258711742276338
conVals_spearman	PEN	BASE_VS_NCHANGE	from70to100	lang_LH	ss005	0.383827007532004
conVals_spearman	PEN	BASE_VS_AJCHANGE	from70to100	lang_LH	ss005	0.306117892755961
conVals_spearman	PEN	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss005	0.343041538771455
conVals_spearman	PEN	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss005	0.339876134833502
conVals_spearman	GLASS	BASE_VS_NCHANGE	from70to100	lang_LH	ss005	0.241097645204466
conVals_spearman	GLASS	BASE_VS_AJCHANGE	from70to100	lang_LH	ss005	0.177823558840622
conVals_spearman	GLASS	BASE_VS_PREPCHANGE	from70to100	lang_LH	ss005	0.23995240571328
conVals_spearman	GLASS	BASE_VS_MEANINGPRES	from70to100	lang_LH	ss005	0.273805617535912
